doi,refcodes,count,year,url,flags,name_dicts,compound_dicts
10.1038/s41467-017-01166-3,['SENBAR'],1,2017,https://www.nature.com/articles/s41467-017-01166-3,1,{'FJI-H14': '[Cu(BTTA)H2O]n·6nH2O'},"{'H2L': ['1,4-di(1H-imidazol-4-yl)benzene']}"
10.1038/s41586-021-04218-3,['MAWNAD'],1,2022,https://www.nature.com/articles/s41586-021-04218-3,1,{},{}
10.1038/nature06900,"['NOFQAB', 'NOFQEF']",2,2008,https://www.nature.com/articles/nature06900,1,{},"{'BDC': ['1,4-benzenedicarboxylate']}"
10.1038/srep11537,"['OBAHAD', 'OBAHEH', 'OBAHIL', 'OBAHOR', 'OBAHUX', 'OBAJAF']",6,2015,https://www.nature.com/articles/srep11537,1,{},{}
10.1038/ncomms5406,['WOLYON'],1,2014,https://www.nature.com/articles/ncomms5406,1,"{'1a': '[Mn2L1(DMF)2(H2O)2]·3DMF·2H2O', '1b': '[Mn2L2(DMF)2(H2O)2]·3DMF·H2O'}","{'2e': ['1-PEA'], '2g': ['1-phenylpropylamine'], '2h': ['indan-1-ylamine'], '2j': ['1-methyl-1,2,3,4-tetrahydroisoquinoline'], '2k': ['1-methyl-3-phenylpiperazine'], '3a': ['2-butylamine'], '3b': ['3-methyl-2-butylamine'], '3c': ['2-pentylamine'], '3d': ['1-cyclohexylethanamine'], '3e': ['1-Phenylpropan-2-amine']}"
10.1038/s41598-018-21382-1,['BEQKAM'],1,2018,https://www.nature.com/articles/s41598-018-21382-1,1,{'1': '[Zn21(BTC)11(μ3-OH)3(μ4-O)3(H2O)18]·21EtOH'},"{'1': ['[Zn21(BTC)11(μ3-OH)3(μ4-O)3(H2O)18]·21EtOH', '[Zn21(BTC)11(µ3-OH)3(µ4-O)3(H2O)18]·21EtOH'], 'H3BTC': ['1,3,5-benzenetricarboxylic'], 'H2PAM': ['3-hydroxy-2-naphthalene-carboxylic'], 'dpe': ['1,2-di(4-pyridyl)ethylene'], 'DHT': ['2,5-dihydroxyterephthalate']}"
10.1038/ncomms9697,"['YUZBIG', 'YUZBOM', 'YUZBUS', 'YUZCAZ', 'YUZCED']",5,2015,https://www.nature.com/articles/ncomms9697,1,{},"{'H3btc': ['benzene-1,3,5-tricarboxylic'], 'H4dobdc': ['2,5-dihydroxyl-1,4-benzenedicarboxylic'], 'H2bdc': ['1,4-benzenediarboxylic'], 'Hmim': ['2-methylimidazole'], 'H2ndc': ['naphthalene-2,6-dicarboxylic']}"
10.1038/s41586-021-03880-x,"['ODIFAM', 'RAFMIY', 'RAFMOE', 'RAFNEV', 'RAFNIZ', 'RAFNOF', 'RAFNUL', 'RAFPAT', 'RAFPEX']",9,2021,https://www.nature.com/articles/s41586-021-03880-x,1,{},{}
10.1038/s41467-020-15281-1,['MUFWUI'],1,2020,https://www.nature.com/articles/s41467-020-15281-1,1,{},"{'I': ['4,4′-(1,10-phenanthroline-2,9-diyl)dianiline'], 'II': ['2,9-bis(4-(dimethoxymethyl)phenyl)-1,10-phenanthroline']}"
10.1038/s41467-020-17200-w,"['KABSAL', 'KABSEP', 'KABSIT']",3,2020,https://www.nature.com/articles/s41467-020-17200-w,1,{},"{'bpy': ['4,4′-bipyridine']}"
10.1038/s41467-019-09504-3,"['SOKKAH', 'SOKKEL']",2,2019,https://www.nature.com/articles/s41467-019-09504-3,1,{},{}
10.1038/s42004-018-0016-0,"['XIFHEC', 'XIFHIG']",2,2018,https://www.nature.com/articles/s42004-018-0016-0,1,{},{}
10.1038/s41467-019-12414-z,"['GUBJAR', 'GUBJEV', 'GUBJIZ']",3,2019,https://www.nature.com/articles/s41467-019-12414-z,1,"{'DPA': 'Zn-DPA·2H2O', '-DPA': '{[Zn1.5(tca)(dpa)0.5]}n'}",{}
10.1038/ncomms1902,"['GEBCEX', 'GEBCIB']",2,2012,https://www.nature.com/articles/ncomms1902,1,{},"{'4': ['nonafluoro-1-iodobutane', 'perfluoro-1-iodobutane'], '3': ['heptafluoro-1-iodopropane']}"
10.1038/s41467-018-04152-5,"['TEWMIU', 'TEWMOA', 'TEWMUG']",3,2018,https://www.nature.com/articles/s41467-018-04152-5,1,{},{}
10.1038/s42004-018-0021-3,['NIFFAM'],1,2018,https://www.nature.com/articles/s42004-018-0021-3,1,{'12': '[Zn(11)2(BF4)2·(MeOH)2·H2O]n'},"{'1': ['3,3-dimethylpentane-2,4-dione'], '3': ['1,4-diketone']}"
10.1038/s41467-017-00416-8,"['VEGYOY', 'VEGYUE', 'VEHDOE', 'VEHDOE01', 'VEHFAS']",5,2017,https://www.nature.com/articles/s41467-017-00416-8,1,{},"{'PYI': ['L-pyrrolidin-2-ylimidazole', 'D-pyrrolidin-2-yl-imidazole', 'L-/D-pyrrolidin-2-ylimidazole'], 'H3': ['4,4′,4′′-nitrilotrisbenzoicacid', '4,4′,4′′-Nitrilotrisbenzoicacid'], 'NTB': ['4,4′,4′′-nitrilotrisbenzoicacid', '4,4′,4′′-Nitrilotrisbenzoicacid']}"
10.1038/s41467-020-19374-9,['WACWIK'],1,2020,https://www.nature.com/articles/s41467-020-19374-9,1,{},{}
10.1038/ncomms13300,"['GAZBOB', 'GAZBUH']",2,2016,https://www.nature.com/articles/ncomms13300,1,{},{}
10.1038/s41467-019-13925-5,"['XUKMEY', 'XUKMIC', 'XUKMIC01', 'XUKMIC02', 'XUKMIC03', 'XUKMIC04', 'XUKMUO', 'XUKMUO01', 'XUKMUO02', 'XUKMUO03']",10,2020,https://www.nature.com/articles/s41467-019-13925-5,1,{},{}
10.1038/ncomms7475,"['JUBXAH', 'JUBXIP']",2,2015,https://www.nature.com/articles/ncomms7475,1,{'Ba-D-Fe28': 'Ba10[Fe28(μ3-O)8(Tart)16(HCOO)24]·57H2O'},{}
10.1038/s41586-020-2479-2,['QUYYER'],1,2020,https://www.nature.com/articles/s41586-020-2479-2,1,"{'Cm-1': '[NH4][Cm(pydtc)4]∙2CH3OH', 'Cm-2': 'Cm2(mellitate)(H2O)8·2H2O'}",{'Cm-1': ['11-GPa']}
10.1038/ncomms10007,"['SUVYEP', 'SUVYIT']",2,2015,https://www.nature.com/articles/ncomms10007,1,{},"{'BPY': ['NH2-bipyridine', '3-amino-4,4′-bipyridine'], 'PYI': ['pyrrolidine-2-yl-imidazole']}"
10.1038/s41467-018-05659-7,['ZIJXOI'],1,2018,https://www.nature.com/articles/s41467-018-05659-7,1,{},{}
10.1038/s41598-017-11006-5,"['VEHBOC', 'VEHBUI']",2,2017,https://www.nature.com/articles/s41598-017-11006-5,1,"{'1': 'C45H50DyN3O14', '2': 'C45H50ErN3O14'}",{}
10.1038/s41467-018-06147-8,"['AFOXEB', 'AFOXIF', 'AFOXOL']",3,2018,https://www.nature.com/articles/s41467-018-06147-8,1,{},{}
10.1038/srep03650,['WOQQOL'],1,2014,https://www.nature.com/articles/srep03650,1,{},{}
10.1038/srep24372,"['EKUKOM', 'EKUKUS']",2,2016,https://www.nature.com/articles/srep24372,1,"{'1': '(Ph4P)[CoII(3-Mepy)2.7(H2O)0.3WV(CN)8]·0.6H2O', '2': '(Ph4As)[CoII(3-Mepy)3WV(CN)8]'}","{'1': ['(Ph4P)[CoII(3-Mepy)2.7(H2O)0.3WV(CN)8]·0.6H2O'], '2': ['(Ph4As)[CoII(3-Mepy)3WV(CN)8]'], '3-Mepy': ['3-methylpyridine']}"
10.1038/ncomms11831,"['UQEFAZ', 'UQEFED']",2,2016,https://www.nature.com/articles/ncomms11831,1,{},{}
10.1038/s41467-019-09157-2,"['HIZMOV', 'HIZMUB']",2,2019,https://www.nature.com/articles/s41467-019-09157-2,1,{},{}
10.1038/nature15732,"['QUPZAE', 'QUPZAE01', 'QUPZIM', 'QUPZIM01', 'QUPZIM02', 'QUQBAH', 'QUQBEL']",7,2015,https://www.nature.com/articles/nature15732,1,{},"{'bdp2−': ['1,4-benzenedipyrazolate']}"
10.1038/ncomms7350,"['COXCOJ', 'COXCUP', 'COXDAW', 'COXDEA', 'COXDIE']",5,2015,https://www.nature.com/articles/ncomms7350,1,{},"{'O65': ['MAF-42-sp>'], 'H2btm': ['bis(5-methyl-1,2,4-triazolate-3-yl)methane']}"
10.1038/s42004-020-0262-9,['MIJSII01'],1,2020,https://www.nature.com/articles/s42004-020-0262-9,1,{},{}
10.1038/s41467-019-09682-0,['RODTAI'],1,2019,https://www.nature.com/articles/s41467-019-09682-0,1,{'1': '{[Cu2(6-Hmna)(6-mn)]·NH4}n'},"{'1': ['{[Cu2(6-Hmna)(6-mn)]·NH4}n'], '6-Hmna': ['6-mercaptonicotinic'], '6-mn': ['6-mercaptonicotinate'], 'HHTP': ['2,3,6,7,10,11-hexahydroxytriphenylene']}"
10.1038/s41467-019-11912-4,"['JOMZIX', 'JOMZOD']",2,2019,https://www.nature.com/articles/s41467-019-11912-4,1,{},"{'bobdc2–': ['2,5-dioxido-1,4-benzenedicarboxylate']}"
10.1038/s41467-017-00122-5,"['KAYJUS', 'KAYKAZ', 'KAYKUT']",3,2017,https://www.nature.com/articles/s41467-017-00122-5,1,"{'1': '[Zn4(bdc)4(LO)2·4DMF·H2O]n', '1′': '[Zn2(bdc)2(LO)]n', '2': '[Zn2(bdc)2(LC)]·DMF)n'}",{}
10.1038/srep06451,"['LOTMOY', 'LOTMOY01', 'LOTMOY02', 'LOTMOY03', 'LOTMOY04']",5,2014,https://www.nature.com/articles/srep06451,1,{'1': '[(C3H7)3NH]2[Cu2(C2O4)3](H2O)2.2'},"{'dmit': ['1,3-dithiole-2-thione-4,5-dithiolate']}"
10.1038/s41467-019-08434-4,['MOFNED'],1,2019,https://www.nature.com/articles/s41467-019-08434-4,1,{},{}
10.1038/s41467-020-20101-7,"['QALMUP', 'QALNAW', 'QALNEA', 'QALNIE', 'QALNOK', 'QALNUQ', 'QALPAY', 'QALPEC']",8,2020,https://www.nature.com/articles/s41467-020-20101-7,1,{},{}
10.1038/srep00668,['RIRHAD'],1,2012,https://www.nature.com/articles/srep00668,1,"{'1': '{[NiL]4(Htcba)4(H2O)2}', '2': '{[NiL]5(tcba)3(PF6)(H2O)2}', '3': '{H[NiL]6(tcba)4(ClO4)}'}","{'L': ['1,4,8,11-tetraazaundecane'], 'H3tcba': ['4-carboxy-']}"
10.1038/s41467-020-18328-5,"['ZUWSAO', 'ZUWSES']",2,2020,https://www.nature.com/articles/s41467-020-18328-5,1,"{'1': 'YbI2(bipy)2.5·1.5CH3CN', '2': 'YbI2(bipy)2(THF)·1.5THF'}",{}
10.1038/ncomms14099,['JAKQOE'],1,2017,https://www.nature.com/articles/ncomms14099,1,"{'1': '(C6N4H13)2[FeIV(L-6H)]·5H2O', '2': '(Bu4N)2[FeIV(L-6H)]·7CHCl3', '5': 'Ca(H2O)2FeIV(L-6H)·4H2O·i-PrOH', '3': '(Ph4As)2[FeIV(L-6H)]·13.28H2O', '4': 'Na2[FeIV(L-6H)]·2H2O'}",{}
