doi,refcodes,count,year,url,name_dicts,compound_dicts
10.1007/s11224-016-0817-7,"['AWOSOW', 'AWOSUC', 'AWOTAJ', 'AWOTEN', 'AWOTIR']",5,2016,https://link.springer.com/article/10.1007/s11224-016-0817-7,{},{}
10.1007/s11224-016-0907-6,"['SAXGEG', 'SAXGIK', 'SAXGOQ', 'SAXGUW', 'SAXHAD']",5,2017,https://link.springer.com/article/10.1007/s11224-016-0907-6,"{'1': '[Cd(acty)(phen)2](ClO4)·3H2O', '2': '{[Cd(acty)(bpp)2(H2O)2](NO3)·2H2O}n', '3': '{[Cd(acty)(bpp)2(H2O)2](ClO4)·2H2O}n', '4': '{[Zn2(acty)2(bpp)2(O)]·3.5H2O}n', '5': '{[Ag4(acty)2(bpp)4](NO3)2·8H2O}n', '6': '{[Ag(acty)(4,4’-bipy)]·2H2O}n', 'a': '{[Zn(acty)(bipy)2(H2O)2]·NO3·2H2O}n', 'b': '{[Co(acty)(bipy)2(H2O)2]·NO3·2H2O}n', 'c': '{[Cd(acty)2(bipy)H2O]·H2O}n', 'd': '{[Cd(acty)(bpe)2(Ac)]·6H2O}n'}","{'Hacty': ['N-acetyl-L-tyrosine'], 'phen': ['1,10-phenanthroline'], 'bpp': ['1,3-di(4-pyridyl)propane'], 'bpe': ['1,2-di(4-pyridyl)ethane'], 'actyr': ['N-acetyl-L-tyrosine']}"
10.1007/s11224-017-1052-6,['YAVYAW02'],1,2017,https://link.springer.com/article/10.1007/s11224-017-1052-6,{'1': '{[Cu4(oba)4(H2O)4]∙H2O}n'},{}
10.1007/s11224-018-1079-3,['CIJTAT'],1,2018,https://link.springer.com/article/10.1007/s11224-018-1079-3,{'1': '[Zn3L2(OH)2(H2O)6]n'},{'H2L': ['4-[(8-hydroxy-5-quinolinyl)azo]-benzenesulfonic']}
10.1007/s11224-018-1140-2,['UTOKAQ01'],1,2018,https://link.springer.com/article/10.1007/s11224-018-1140-2,{},{}
10.1007/s11224-018-1145-x,['MIJNAX'],1,2018,https://link.springer.com/article/10.1007/s11224-018-1145-x,"{'1': '[Co2(bpdc)2(bibt)1.5](H2O)2', '2': '[Gd(bpdc)2(Hbpp)](H2O)3'}",{}
10.1007/s11224-018-1194-1,"['LIVXOG', 'LIVXUM']",2,2018,https://link.springer.com/article/10.1007/s11224-018-1194-1,"{'1': '[Mn(L)2(H2O)2]n', '2': '[Cd2(L)4(H2O)4]n'}",{'HL': ['(benzotriazol-1-yloxy)-acetic']}
10.1007/s11224-019-01301-4,"['WOLVIF', 'WOLVOL']",2,2019,https://link.springer.com/article/10.1007/s11224-019-01301-4,"{'1': '[Cu5(Hbtc)4(trz)2(H2O)4](H2O)2', '2': '[Cu2(btc)(trz)](H2O)3'}",{}
10.1007/s11224-020-01721-7,['AQAFEG'],1,2021,https://link.springer.com/article/10.1007/s11224-020-01721-7,{},{}
10.1007/s11224-021-01815-w,"['HALJEN', 'HALJIR', 'HALJUD']",3,2021,https://link.springer.com/article/10.1007/s11224-021-01815-w,{},"{'H3L': ['1,3,5-triazine-2,4,6(1H,3H,5H)-trione']}"
10.1007/s11237-015-9397-7,['HUZFIT'],1,2015,https://link.springer.com/article/10.1007/s11237-015-9397-7,"{'1': '[Fe2NiO(Piv)6(L1)]n', '2': '[Fe2NiO(Piv)6(L2)1.5]n', '3': '[Fe2NiO(Piv)6(L3)1.5]n'}",{}
10.1007/s11237-016-9458-6,"['CARXEB', 'CARXIF']",2,2016,https://link.springer.com/article/10.1007/s11237-016-9458-6,"{'1': '[Cu2(Piv)4(L1)]n·3.3nCHCl3', '2': '[Cu2(Piv)4(L2)]n·nCH3CN'}",{}
10.1007/s11243-007-9035-x,"['RIYBIL', 'RIYBOR']",2,2007,https://link.springer.com/article/10.1007/s11243-007-9035-x,{},{}
10.1007/s11243-008-9056-0,"['YIYZUC', 'YIZBAL']",2,2008,https://link.springer.com/article/10.1007/s11243-008-9056-0,"{'1': '[Zn(L)(N3)2]·H2O', '2': '[Cu(L)2(Br)2]·C2H5OH·1.5H2O'}",{}
10.1007/s11243-008-9064-0,['OFAYUP01'],1,2008,https://link.springer.com/article/10.1007/s11243-008-9064-0,{},{}
10.1007/s11243-008-9086-7,"['VOCXUH', 'YIDSAF01', 'YIHWAO01']",3,2008,https://link.springer.com/article/10.1007/s11243-008-9086-7,"{'1': '[CuCl(4,4′-bipy)]n', '2': '[CuBr(4,4′-bipy)]n', '3': '[CuI(4,4′-bipy)]n', '4': '[Cu2(1,2,4,5-BTC)(DMF)2]n', '5': '[Co(1,3,5-BTC)(4,4′-bipy)]n'}","{'1': ['[CuCl(4,4′-bipy)]n'], '2': ['[CuBr(4,4′-bipy)]n'], '3': ['[CuI(4,4′-bipy)]n'], '4': ['[Cu2(1,2,4,5-BTC)(DMF)2]n'], '5': ['[Co(1,3,5-BTC)(4,4′-bipy)]n'], '1,2,4,5-BTC': ['1,2,4,5-benzene'], '1,3,5-BTC': ['1,3,5-benzene']}"
10.1007/s11243-008-9095-6,"['PETXIW01', 'POHLUU', 'POHMAB']",3,2008,https://link.springer.com/article/10.1007/s11243-008-9095-6,"{'1': '[Fe(phen)3](H3BPTC)2', '2': '[Cu2(phen)2(BPTC)·(H2O)2]·2H2O', '3': '[Ni3(phen)3(BPTC)1.5(H2O)5]·4H2O', '4': '[Cd(phen)(BPTC)0.5]·H2O'}","{'H2BDC': ['benzene-1,4-dicarboxylic'], 'H4btec': ['1,2,4,5-benzenetetracarboxylic'], 'm-H4bptc': ['1,1′-biphenyl-2,3′,3,4′-tetracarboxylic'], '4,4′-bpy': ['4,4′-bipyridine'], 'bpy': ['4,4′-bipyridine'], 'bpdo': ['4,4′-bipyridine']}"
10.1007/s11243-008-9146-z,"['SOKQEP', 'SOKQIT']",2,2008,https://link.springer.com/article/10.1007/s11243-008-9146-z,{},"{'HL1': ['2-[(2-morpholin-4-ylethylimino)methyl]phenol'], 'HL2': ['2-methoxy-6-[(2-piperidin-1-ylethylimino)methyl]phenol']}"
10.1007/s11243-008-9147-y,"['SOKQOZ', 'SOKQUF', 'SOMFOQ']",3,2008,https://link.springer.com/article/10.1007/s11243-008-9147-y,"{'1': '[Mn(ndc)(bpy)]n·n(H2O)', '2': '[Mn(ndc)(phen)]n', '3': '[Mn3(ndc)3(bpy)2]n'}","{'H2ndc': ['2,6-naphthalenedicarboxylic'], 'bpy': ['2,2′-bipyridine'], 'phen': ['1,10-phenanthroline']}"
10.1007/s11243-008-9158-8,['MOPTAN'],1,2008,https://link.springer.com/article/10.1007/s11243-008-9158-8,"{'1': '{[Mn(L)2(H2O)2](H2O)}∞', '2': '[Mn2(L)4(phen)2(μ-H2O)](CH3OH)'}","{'L': ['anthracene-9-carboxylate'], 'phen': ['1,10-phenanthroline']}"
10.1007/s11243-008-9176-6,"['FOQBAP', 'FOQBET']",2,2008,https://link.springer.com/article/10.1007/s11243-008-9176-6,"{'1': '[Co(HBTC)(bix)]n', '2': '[Co(1,4-bdc)(bix)H2O]n'}","{'2': ['[Co(1,4-bdc)(bix)H2O]n'], 'bix': ['1,4-bis(imidazole-1-ylmethyl)benzene'], 'H3btc': ['benzene-1,3,5-tricarboxylic'], '1,4-H2bdc': ['benzene-1,4-dicarboxylic']}"
10.1007/s11243-009-9191-2,['DOXQEN'],1,2009,https://link.springer.com/article/10.1007/s11243-009-9191-2,"{'1': '[Cu5I(4,4′-bpy)3(2,2′-bpy)4][BW12O40]·H2O', '2': '[Ni0.5(2,2′-bpy)1.25][Ni(2,2′-bpy)3][Ni(2,2′-bpy)2(H2O)(SiWVI11WVO40)]·0.5H2O', '3': '[H2bpy]2[Zn(2,2′-bpy)3]2[Si2W18O62]·1.5H2O', '4': '[CuII(2,2′-bpy)2]2[SiW12O40]·2H2O'}","{'1': ['[Cu5I(4,4′-bpy)3(2,2′-bpy)4][BW12O40]·H2O'], '2': ['[Ni0.5(2,2′-bpy)1.25][Ni(2,2′-bpy)3][Ni(2,2′-bpy)2(H2O)(SiWVI11WVO40)]·0.5H2O'], '3': ['[H2bpy]2[Zn(2,2′-bpy)3]2[Si2W18O62]·1.5H2O'], '4': ['[CuII(2,2′-bpy)2]2[SiW12O40]·2H2O'], '2,2′-bpy': ['2,2′-bipyridine'], '4,4′-bpy': ['4,4′-bipyridine']}"
