doi,refcodes,count,year,urls,url,flags,name_dicts,compound_dicts
10.1016/j.seppur.2021.118482,['EMUYET'],1,2021,https://api.elsevier.com/content/article/pii/S1383586621001842,https://www.sciencedirect.com/science/article/pii/S1383586621001842,1,{},{}
10.1016/j.jssc.2020.121846,['GAJPAM'],1,2021,https://api.elsevier.com/content/article/pii/S0022459620306770,https://www.sciencedirect.com/science/article/pii/S0022459620306770,1,{},{}
10.1016/j.molstruc.2006.10.001,"['DICBAT', 'DICBEX', 'WEVMOA01']",3,2007,https://api.elsevier.com/content/article/pii/S0022286006007757,https://www.sciencedirect.com/science/article/pii/S0022286006007757,1,"{'1': '(flu)2CuBr2·2H2O', '2': '(flu)2Zn(ClO4)2·2H2O', '3': '(flu)4Ni2(H2O)4(Mo8O26)·6H2O'}",{}
10.1016/j.solidstatesciences.2005.04.020,"['RAYMAG', 'RAYMEK']",2,2005,https://api.elsevier.com/content/article/pii/S1293255805002426,https://www.sciencedirect.com/science/article/pii/S1293255805002426,1,"{'3': 'Ni(ip)(4,4′-bipy)'}","{'3': ['Ni(ip)(4,4′-bipy)']}"
10.1016/j.ica.2011.08.003,"['EBASOR', 'EBASUX', 'EBASUX01', 'EBATEI']",4,2011,https://api.elsevier.com/content/article/pii/S0020169311006451,https://www.sciencedirect.com/science/article/pii/S0020169311006451,1,{'1': '[{M(bipy)(NCSe)2(H2O)2}·bipy]n'},{}
10.1016/j.inoche.2007.05.028,['GIKPEW'],1,2007,https://api.elsevier.com/content/article/pii/S1387700307002079,https://www.sciencedirect.com/science/article/pii/S1387700307002079,1,"{'1': 'Mn(C4H11NO7P2)·H2O', '2': 'Co(C4H11NO7P2)·H2O'}",{}
10.1016/j.poly.2013.11.029,['MEMBAI01'],1,2014,https://api.elsevier.com/content/article/pii/S0277538713007882,https://www.sciencedirect.com/science/article/pii/S0277538713007882,1,"{'(1)': '[Cd(μ-hmt)(μ-dca)2]n', '1': '[Cd(μ-hmt)(μ-dca)2]n'}",{}
10.1016/j.inoche.2007.03.015,['DIJCUV'],1,2007,https://api.elsevier.com/content/article/pii/S1387700307001141,https://www.sciencedirect.com/science/article/pii/S1387700307001141,1,{'1': '(C10H14N4)1.5[Cu(C10H14N4)]4.5'},{}
10.1016/j.poly.2007.05.042,['WIJZUL'],1,2007,https://api.elsevier.com/content/article/pii/S0277538707003221,https://www.sciencedirect.com/science/article/pii/S0277538707003221,1,"{'1': '{[Cu(H2biim)(H2O)(suc)](H2O)}n', '2': '{[Cu(H2biim)2(H2O)][Cu(H2biim)2(glut)](glutH)(NO3)·2.5H2O}n'}",{}
10.1016/j.ica.2013.09.048,['BINMIW'],1,2014,https://api.elsevier.com/content/article/pii/S0020169313005331,https://www.sciencedirect.com/science/article/pii/S0020169313005331,1,{},{}
10.1016/j.ica.2015.09.019,['LUWNOI'],1,2015,https://api.elsevier.com/content/article/pii/S0020169315004697,https://www.sciencedirect.com/science/article/pii/S0020169315004697,1,"{'1': '{[Mn(L)2(NCS)2(CH3OH)2]·CH3OH}', '2': '{[Mn(L)2(NCS)2(C2H5OH)2]·2C2H5OH}', '3': '[Mn(NCS)2(μ-L)2]n'}",{}
10.1016/j.molstruc.2019.06.013,"['GOFSAY', 'GOGLIA']",2,2019,https://api.elsevier.com/content/article/pii/S0022286019307264,https://www.sciencedirect.com/science/article/pii/S0022286019307264,1,"{'1': '[Ni(TP)(L1)(H2O)]n', '2': '[Ni(TP)(L2)]n'}","{'L1': ['1,6-bis(2-methylbenzimidazol-1-yl)hexane']}"
10.1016/j.molstruc.2020.128695,"['SUNKIY', 'SUPTEF']",2,2020,https://api.elsevier.com/content/article/pii/S0022286020310206,https://www.sciencedirect.com/science/article/pii/S0022286020310206,1,"{'(1)': '[Cu(μ4-dmg)(DMF)]n', '(2)': '[Cu4(μ4-cit)2(H2O)8]n', '1': '[Cu(μ4-dmg)(DMF)]n', '2': '[Cu4(μ4-cit)2(H2O)8]n'}","{'1': ['[Cu(μ4-dmg)(DMF)]n'], '2': ['[Cu4(μ4-cit)2(H2O)8]n'], '(1)': ['[Cu(μ4-dmg)(DMF)]n'], '(2)': ['[Cu4(μ4-cit)2(H2O)8]n']}"
10.1016/j.molstruc.2012.02.069,"['CISJUK02', 'CISKIZ02', 'RAYROA', 'RAYRUG']",4,2012,https://api.elsevier.com/content/article/pii/S0022286012001962,https://www.sciencedirect.com/science/article/pii/S0022286012001962,1,"{'1': '[Er(CH3C6H4COO)2(Ac)(H2O)]n', '2': '[Yb(β-C10H7COO)2(Ac)(H2O)]n', '3': '[Nd(C9H7O2)3]n', '4': '[Ho(C9H7O2)3]n'}",{}
10.1016/S1293-2558(03)00055-4,"['GADKIG', 'GADKOM']",2,2003,https://api.elsevier.com/content/article/pii/S1293255803000554,https://www.sciencedirect.com/science/article/pii/S1293255803000554,1,"{'1': 'Ni9(OH)2(H2O)6(C4H5O2)8·2H2O', '2': 'Ni5(OH)2(C4H5O2)8'}",{}
